period_s,Sa_servicio_31,Sa_diseno_475,Sa_maximo_considerado_2500
1.78,0.12033707865168539,0.3438202247191011,0.5157303370786517
1.79,0.11966480446927373,0.3418994413407821,0.5128491620111731
1.8,0.11899999999999998,0.33999999999999997,0.51
1.81,0.11834254143646408,0.33812154696132596,0.507182320441989
1.82,0.11769230769230768,0.33626373626373623,0.5043956043956044
1.83,0.11704918032786885,0.3344262295081967,0.5016393442622951
1.84,0.11641304347826086,0.3326086956521739,0.4989130434782608
1.85,0.11578378378378376,0.33081081081081076,0.49621621621621614
1.86,0.11516129032258061,0.3290322580645161,0.4935483870967741
1.87,0.11454545454545453,0.32727272727272727,0.4909090909090909
1.88,0.11393617021276596,0.32553191489361705,0.48829787234042554
1.89,0.11333333333333333,0.3238095238095238,0.48571428571428577
1.9,0.11273684210526315,0.32210526315789473,0.4831578947368421
1.91,0.11214659685863874,0.3204188481675393,0.48062827225130894
1.92,0.11156250000000001,0.31875000000000003,0.478125
1.93,0.11098445595854922,0.3170984455958549,0.47564766839378236
1.94,0.11041237113402061,0.3154639175257732,0.4731958762886598
1.95,0.10984615384615383,0.31384615384615383,0.4707692307692307
1.96,0.10928571428571429,0.3122448979591837,0.4683673469387756
1.97,0.10873096446700507,0.31065989847715736,0.46598984771573604
1.98,0.10818181818181817,0.3090909090909091,0.4636363636363636
1.99,0.10763819095477387,0.3075376884422111,0.4613065326633166
2.0,0.10709999999999999,0.306,0.45899999999999996
2.01,0.10656716417910449,0.30447761194029854,0.4567164179104478
2.02,0.10603960396039604,0.30297029702970296,0.4544554455445544
2.03,0.10551724137931034,0.3014778325123153,0.45221674876847295
2.04,0.105,0.3,0.44999999999999996
2.05,0.10448780487804879,0.2985365853658537,0.44780487804878055
2.06,0.10398058252427182,0.29708737864077667,0.44563106796116503
2.07,0.10347826086956521,0.2956521739130435,0.4434782608695652
2.08,0.10298076923076922,0.29423076923076924,0.44134615384615383
2.09,0.10248803827751196,0.29282296650717704,0.43923444976076553
2.1,0.102,0.2914285714285714,0.43714285714285717
2.11,0.10151658767772512,0.2900473933649289,0.43507109004739336
