period_s,Sa_SGC_CCP14_31,Sa_SGC_CCP14_475,Sa_SGC_CCP14_2500
1.33,0.04875670138158296,0.21436394360875682,0.37280198936824105
1.34,0.04839284540112338,0.2127642126863034,0.37001988496997057
1.35,0.048034379879633576,0.21118818148121968,0.36727899693315597
1.36,0.04768118590993039,0.20963532720562247,0.36457841607335334
1.37,0.04733314805657323,0.20810514233550845,0.36191725975165007
1.38,0.04699015423007633,0.20659713405771493,0.35929467091287004
1.39,0.0466520955665506,0.20511082374075296,0.35670981716529543
1.4,0.046318866312503815,0.203645746428319,0.35416188989982905
1.41,0.04599036371454279,0.2022014503543593,0.3516501034466388
1.42,0.045666487913736155,0.20077749647862436,0.34917369426743705
1.43,0.04534714184440933,0.19937345804171092,0.3467319201816508
1.44,0.045032231137156487,0.19798892013864347,0.34432405962483376
1.45,0.04472166402586575,0.1966234793101011,0.34194941093776593
1.46,0.0444153512585653,0.19527674315044288,0.33960729168476755
1.47,0.04411320601190839,0.1939483299317324,0.3372970379998372
1.48,0.043815143809125226,0.19263786824300447,0.3350180039592977
1.49,0.043521082441278745,0.1913449966440581,0.3327695609797051
1.5,0.043230941891670226,0.19006936333309774,0.3305510972398404
1.51,0.042944644263248566,0.1888106258275805,0.32836201712566926
1.52,0.04266211370888509,0.18756845065766223,0.3262017406972109
1.53,0.04238327636438257,0.18634251307166444,0.3240697031763141
1.54,0.042108060284094376,0.18513249675301727,0.32196535445439
1.55,0.0418363953790357,0.18393809354815907,0.3198881586192004
1.56,0.04156821335737521,0.18275900320490165,0.3178375934998465
1.57,0.04130344766720085,0.181594933120794,0.31581315022914686
1.58,0.04104203344145907,0.18044559810104213,0.31381433282263327
1.59,0.04078390744497191,0.17931072012556387,0.31184065777343434
1.6,0.04052900802344083,0.1781900281247791,0.3098916536623504
1.61,0.040277275054351136,0.17708325776375564,0.30796686078246
1.62,0.04002864989969465,0.17599015123434975,0.30606583077763
1.63,0.039783075360432726,0.17491045705499791,0.3041881262943317
1.64,0.039540495632625204,0.1738439298778333,0.3023333206461955
1.65,0.03930085626515475,0.17279033030281613,0.30050099749076403
1.66,0.03906410411897912,0.1717494246985823,0.2986907505179281
1.67,0.03883018732784751,0.17072098502972852,0.29690218314955724
1.68,0.038599055260419846,0.16970478869026584,0.2951349082498575
1.69,0.03837065848373097,0.16870061834298616,0.2933885478460122
1.7,0.038144948727944314,0.167708261764498,0.2916627328586827
1.71,0.0379218788523423,0.16672751169569977,0.2899571028419653
1.72,0.0377014028125031,0.16575816569746896,0.28827130573241894
1.73,0.0374834756286158,0.1648000260113564,0.28660499760679803
1.74,0.03726805335488812,0.16385289942508424,0.28495784244813827
1.75,0.03705509305000305,0.1629165971426552,0.2833295119198632
1.76,0.036844552748582574,0.1619909346588901,0.28171968514759127
1.77,0.03663639143361883,0.16107573163821842,0.28012804850833933
1.78,0.036430569009834456,0.16017081179755427,0.2785542954268318
1.79,0.036227046277935944,0.15927600279309864,0.2769981261786372
1.8,0.03602578490972518,0.15839113611091477,0.275459247699867
1.81,0.0358267474240361,0.1575160469611307,0.27393737340318264
1.82,0.03562989716346447,0.15665057417563,0.27243222299986847
1.83,0.03543519827186084,0.15579456010909648,0.27094352232773805
1.84,0.035242615672557244,0.1549478505432862,0.2694710031846525
1.85,0.03505211504730018,0.15411029459440356,0.26801440316743813
1.86,0.03486366281586308,0.1532817446234659,0.2665734655160003
1.87,0.03467722611631301,0.1524620561495436,0.2651479389624388
1.88,0.034492772785907094,0.15165108776576947,0.26373757758497907
1.89,0.034310271342595414,0.15084870105801407,0.26234214066654
1.9,0.03412969096710807,0.1500547605261298,0.26096139255776873
1.91,0.03395100148560489,0.14926913350766838,0.2595951025443773
1.92,0.033774173352867365,0.1484916901039826,0.2582430447186253
1.93,0.033599177636013125,0.1477223031086252,0.25690499785479826
1.94,0.03342598599871409,0.14696084793796216,0.2555807452885364
1.95,0.033254570685900174,0.14620720256392133,0.25427007479987723
1.96,0.03308490450893129,0.1454612474487993,0.25297277849987787
1.97,0.03291696083122098,0.1447228654820541,0.2516886527206907
1.98,0.032750713554295624,0.14399194191901343,0.25041749790897
1.99,0.032586137104274035,0.14326836432143045,0.24915911852249276
2.0,0.03242320641875267,0.1425520224998233,0.2479133229298803
2.01,0.03226189693408226,0.14184280845753564,0.24667992331331376
2.02,0.03210218457302244,0.14114061633645872,0.24545873557413891
2.03,0.03194404573276125,0.14044534236435793,0.2442495792412614
2.04,0.031787457273286926,0.13975688480374832,0.2430522773822356
2.05,0.03163239650610017,0.13907514390226663,0.2418666565169564
